HomeTeam|AwayTeam|RollingAvg_Home_HS|RollingAvg_Home_HST|RollingAvg_Home_HF|RollingAvg_Home_HC|RollingAvg_Away_AS|RollingAvg_Away_AST|RollingAvg_Away_AF|RollingAvg_Away_AC|HomeTeam_Form|AwayTeam_Form|B365H|B365D|B365A|FTR
Empoli|Roma|8.2|1.6|13.8|3.4|14.4|6.0|11.6|6.8|0.2|2.6|3.9|3.3|2.0|A
Juventus|Atalanta|18.0|6.6|15.2|5.6|11.8|5.8|12.0|3.8|3.0|1.8|2.5|3.25|2.88|A
Lazio|Udinese|16.4|5.2|10.2|8.0|11.2|4.2|12.8|5.6|2.2|2.6|1.73|3.5|5.25|D
Genoa|Lecce|11.8|3.6|12.2|5.0|11.0|3.0|12.8|3.0|1.2|0.4|2.15|2.9|4.2|H
Monza|Parma|9.6|2.8|14.4|3.8|10.6|3.8|10.4|5.8|0.2|0.8|3.1|3.0|2.45|D
Udinese|Verona|14.2|5.2|16.6|4.6|10.4|3.0|15.8|4.0|2.2|0.6|1.73|3.5|5.0|A
Milan|Como|13.2|3.8|13.0|5.6|11.6|3.6|16.4|3.4|1.2|1.4|1.8|3.6|4.5|H
Torino|Empoli|12.2|3.4|12.6|5.6|10.8|2.2|13.8|5.0|1.6|0.2|1.8|3.3|5.0|H
Venezia|Napoli|10.0|2.4|16.2|4.8|9.0|3.8|12.6|3.8|0.6|1.2|5.75|4.33|1.53|D
Bologna|Lazio|16.0|5.4|13.8|5.4|12.4|4.8|10.2|5.0|2.4|1.8|2.4|3.1|3.25|H
Roma|Cagliari|15.0|4.0|7.4|4.0|5.6|1.8|13.6|2.0|3.0|1.0|1.55|4.2|5.75|H
Fiorentina|Juventus|8.2|4.2|12.2|2.0|11.0|4.6|13.0|3.0|0.6|2.4|3.4|3.2|2.25|H
Atalanta|Inter|16.0|4.8|10.8|4.8|12.8|3.2|11.6|6.6|2.2|2.0|2.55|3.3|2.8|A
