iter	MultiClass
156	0.3076993824
157	0.3064689491
158	0.305361949
159	0.3031011394
160	0.299652429
161	0.2985138478
162	0.2968653402
163	0.2944057623
164	0.29301704
165	0.2915311585
166	0.2906246997
167	0.2882213468
168	0.2858042897
169	0.2845305063
170	0.2829565905
171	0.2810558536
172	0.2791286372
173	0.2772621353
174	0.27508601
175	0.273591654
176	0.2725528254
177	0.2711288
178	0.2697321984
179	0.269308287
180	0.2682421113
181	0.266754485
182	0.2658716539
183	0.2643713822
184	0.2636412869
185	0.2617944763
186	0.2610000851
187	0.2595545492
188	0.2585707874
189	0.2576687839
190	0.2558971368
191	0.2547317909
192	0.2525020807
193	0.2512601658
194	0.2495927705
195	0.2482059468
196	0.2463384652
197	0.2453790541
198	0.2443631603
199	0.2433446802
200	0.2421813764
201	0.241606538
202	0.2403037258
203	0.2390150727
204	0.2380164515
205	0.2369877864
206	0.235820423
207	0.2347887245
208	0.2337497414
209	0.2334333625
210	0.2322303227
211	0.2311907086
212	0.2302448502
213	0.2285558504
214	0.2268235361
215	0.2259355909
216	0.2248416512
217	0.2240693392
218	0.2232253078
219	0.2220623825
220	0.2205689364
221	0.2194247936
222	0.2181082276
223	0.2167285808
224	0.2158546152
225	0.2152121016
226	0.2138582473
227	0.2129201258
228	0.2114442232
229	0.2102221524
230	0.2095450512
231	0.2080051642
232	0.2072752335
233	0.2062137305
234	0.2050153359
235	0.2039829255
236	0.2031767331
237	0.2023560453
238	0.2013013502
239	0.2008070798
240	0.1998359378
241	0.199013088
242	0.1981732601
243	0.1969854824
244	0.1961783611
245	0.1948082437
246	0.1938006638
247	0.1923425204
248	0.1913595042
249	0.1903076486
250	0.1894075463
251	0.1884798769
252	0.1873339103
253	0.1865300727
254	0.1859735143
255	0.1855051194
256	0.1846551243
257	0.1835494737
258	0.1828593536
259	0.1815299247
260	0.1808612106
261	0.1796505836
262	0.1785428382
263	0.1781146227
264	0.1772313186
265	0.1766873189
266	0.175602226
267	0.1747856194
268	0.1737148777
269	0.1725119445
270	0.1718872277
271	0.1713489511
272	0.1706665827
273	0.1699998478
274	0.1693471774
275	0.1686635441
276	0.1678075842
277	0.1671680886
278	0.1664668242
279	0.1656167667
280	0.1646463746
281	0.164114332
282	0.163421269
283	0.1624803569
284	0.1618952288
285	0.1612562224
286	0.1607133997
287	0.1598426729
288	0.1591154993
289	0.1586436488
290	0.1577335791
291	0.1569832813
292	0.1563930291
293	0.1558493568
294	0.1548403569
295	0.1546654585
296	0.1540994646
297	0.1534497696
298	0.1528591967
299	0.151890955
300	0.1514683977
301	0.1506408036
302	0.150514812
303	0.1500574703
304	0.1496269569
305	0.1490056215
306	0.1485154308
307	0.1480075693
308	0.1472134748
309	0.1467199012
310	0.14619412
311	0.1455989222
312	0.1451742215
313	0.1444538354
314	0.1440574681
315	0.143489911
316	0.1431099764
317	0.1426690264
318	0.1422665707
319	0.1416722317
320	0.1410570958
321	0.1405678383
322	0.1397018899
323	0.1394345175
324	0.1389611979
325	0.1384762245
326	0.1380444012
327	0.1372988419
328	0.1365813422
329	0.1362127596
330	0.1358566689
331	0.1354776866
332	0.1348721558
333	0.1341184533
334	0.1337516894
335	0.1333874127
336	0.1327020159
337	0.1322577279
338	0.1317512204
339	0.1312089017
340	0.130907136
341	0.1304340455
342	0.1301515052
343	0.1296977764
344	0.1290349932
345	0.1284563193
346	0.1280538605
347	0.1274449547
348	0.1270373422
349	0.1267618965
350	0.1264325481
351	0.1259638613
352	0.12555812
353	0.1251826992
354	0.1246800032
355	0.1242971234
356	0.1237827023
357	0.1233719068
358	0.1230490693
359	0.122519876
360	0.1219924848
361	0.1217387761
362	0.1214110698
363	0.1211086135
364	0.1205537567
365	0.1202826274
366	0.119909873
367	0.119637992
368	0.1194535663
369	0.1191692121
370	0.1190012598
371	0.1187404113
372	0.1184971385
373	0.1179938319
374	0.1175067381
375	0.1171610527
376	0.1167584403
377	0.116584543
378	0.1161838245
379	0.1160484765
380	0.1156999718
381	0.1154263217
382	0.1151208404
383	0.1147216985
384	0.1141213309
385	0.1137119188
386	0.1134291923
387	0.113128904
388	0.1127885208
389	0.1125679039
390	0.1122828165
391	0.1117545178
392	0.1115279782
393	0.1112609736
394	0.110839581
395	0.1105883546
396	0.1103025544
397	0.1099578858
398	0.109533143
399	0.1092509033
400	0.108815051
401	0.1085280091
402	0.1081598551
403	0.10786375
404	0.1075043199
405	0.1071564399
406	0.1068787509
407	0.1063253897
408	0.1060624817
409	0.1057737347
410	0.1055759964
411	0.1052899064
412	0.1048874818
413	0.1047704605
414	0.1042482247
415	0.1039865002
416	0.1037330138
417	0.1034913011
418	0.1030863112
419	0.1026542064
420	0.1024345841
421	0.1020427335
422	0.1016615321
423	0.101355809
424	0.1012286362
425	0.1007931423
426	0.1004049709
427	0.1002961284
428	0.1002534456
429	0.0997588879
430	0.09955156839
431	0.09917195432
432	0.09888628154
433	0.09869326455
434	0.09843481742
435	0.09831035497
436	0.09787349539
437	0.09748024371
438	0.09722518092
439	0.09695859563
440	0.09673125676
441	0.09650592835
442	0.09613804944
443	0.09602070475
444	0.09577168181
445	0.09539568691
446	0.09521947044
447	0.09507590918
448	0.09479522246
449	0.09443914328
450	0.09426786747
451	0.09403976401
452	0.09368810554
453	0.09340664822
454	0.09314515382
455	0.09278022557
456	0.09251381566
457	0.09228149924
458	0.09207112689
459	0.09188350822
460	0.09161770716
461	0.09141209191
462	0.09119011502
463	0.09104322129
464	0.09067457357
465	0.09044750428
466	0.09020025525
467	0.09000607121
468	0.08965744859
469	0.08933689495
470	0.08908036808
471	0.0888795426
472	0.08875453065
473	0.0885326136
474	0.08819784915
475	0.08804325107
476	0.08788582324
477	0.08760473129
478	0.0873755358
479	0.08717712168
480	0.08699472343
481	0.08683198782
482	0.08663631942
483	0.08632908795
484	0.08617508076
485	0.08598545617
486	0.08576331244
487	0.08564892015
488	0.08548259682
489	0.08534633338
490	0.08525149265
491	0.08515021999
492	0.08499805366
493	0.08490506631
494	0.08484542891
495	0.08462617685
496	0.08447680876
497	0.08420515258
498	0.08405368682
499	0.0838443484
